"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1"
10,430;0,25;-0,14
10,440;0,25;-0,15
10,450;0,25;-0,17
10,460;0,24;-0,18
10,470;0,24;-0,19
10,480;0,24;-0,20
10,490;0,24;-0,22
10,500;0,24;-0,23
10,510;0,23;-0,24
10,520;0,23;-0,24
10,530;0,23;-0,25
10,540;0,23;-0,26
10,550;0,22;-0,27
10,560;0,22;-0,28
10,570;0,22;-0,28
10,580;0,22;-0,29
10,590;0,21;-0,29
10,600;0,21;-0,30
10,610;0,21;-0,30
10,620;0,20;-0,31
10,630;0,20;-0,31
10,640;0,20;-0,31
10,650;0,19;-0,31
10,660;0,19;-0,31
10,670;0,19;-0,31
10,680;0,18;-0,31
10,690;0,18;-0,31
10,700;0,18;-0,30
10,710;0,18;-0,29
10,720;0,17;-0,23
10,730;0,17;-0,19
10,740;0,17;-0,18
10,750;0,17;-0,22
10,760;0,16;-0,26
10,770;0,16;-0,26
10,780;0,16;-0,20
10,790;0,16;-0,13
10,800;0,16;-0,12
10,810;0,16;-0,16
10,820;0,15;-0,21
10,830;0,15;-0,21
10,840;0,15;-0,24
10,850;0,15;-0,28
10,860;0,14;-0,31
10,870;0,14;-0,30
10,880;0,14;-0,24
10,890;0,14;-0,18
10,900;0,13;-0,12
10,910;0,13;-0,11
10,920;0,13;-0,09
10,930;0,13;-0,06
10,940;0,13;-0,03
10,950;0,13;-0,02
10,960;0,13;-0,02
